,dataset,matrix,sibling_count,data_size,vocab_size,config,is_pre
221,Benign,blosum45,1832,30727,6400,0.8_3_12_0.05,False
222,Benign,blosum45,1398,30727,3200,0.8_3_12_0.05,False
223,Benign,blosum45,1319,30727,3200,0.8_3_12_0.2,False
224,Benign,blosum45,4252,30727,25600,0.7_3_12_0,False
225,Benign,blosum45,2284,30727,12800,0.8_3_12_0,False
226,Benign,blosum45,1403,30727,3200,0.8_3_12_0,False
227,Benign,blosum45,255,30727,6400,0.9_3_12_0.1,False
228,Benign,blosum45,27,30727,800,0.9_3_12_0.005,False
229,Benign,blosum45,1128,30727,800,0.7_3_12_0.2,False
230,Benign,blosum45,2995,30727,51200,0.8_3_12_0.1,False
231,Benign,blosum45,3781,30727,12800,0.7_3_12_0.005,False
232,Benign,blosum45,1002,30727,1600,0.8_3_12_0.005,False
233,Benign,blosum45,4086,30727,51200,0.7_3_12_0.2,False
234,Benign,blosum45,122,30727,3200,0.9_3_12_0.1,False
235,Benign,blosum45,1828,30727,6400,0.8_3_12_0,False
236,Benign,blosum45,1150,30727,800,0.7_3_12_0.005,False
237,Benign,blosum45,119,30727,3200,0.9_3_12_0.2,False
238,Benign,blosum45,123,30727,3200,0.9_3_12_0,False
239,Benign,blosum45,3149,30727,51200,0.8_3_12_0.005,False
240,Benign,blosum45,27,30727,800,0.9_3_12_0.1,False
241,Benign,blosum45,781,30727,51200,0.9_3_12_0.2,False
242,Benign,blosum45,252,30727,6400,0.9_3_12_0,False
243,Benign,blosum45,253,30727,6400,0.9_3_12_0.2,False
244,Benign,blosum45,630,30727,25600,0.9_3_12_0,False
245,Benign,blosum45,2675,30727,3200,0.7_3_12_0.005,False
246,Benign,blosum45,2259,30727,12800,0.8_3_12_0.05,False
247,Benign,blosum45,3204,30727,6400,0.7_3_12_0.005,False
248,Benign,blosum45,4325,30727,25600,0.7_3_12_0.05,False
249,Benign,blosum45,1184,30727,800,0.7_3_12_0.05,False
250,Benign,blosum45,632,30727,25600,0.9_3_12_0.005,False
251,Benign,blosum45,3160,30727,51200,0.8_3_12_0,False
252,Benign,blosum45,122,30727,3200,0.9_3_12_0.05,False
253,Benign,blosum45,54,30727,1600,0.9_3_12_0.005,False
254,Benign,blosum45,1942,30727,1600,0.7_3_12_0,False
255,Benign,blosum45,2975,30727,6400,0.7_3_12_0.2,False
256,Benign,blosum45,4699,30727,51200,0.7_3_12_0.05,False
257,Benign,blosum45,2468,30727,3200,0.7_3_12_0.2,False
258,Benign,blosum45,253,30727,6400,0.9_3_12_0.05,False
259,Benign,blosum45,2713,30727,25600,0.8_3_12_0,False
260,Benign,blosum45,3762,30727,12800,0.7_3_12_0,False
261,Benign,blosum45,795,30727,51200,0.9_3_12_0.005,False
262,Benign,blosum45,2722,30727,3200,0.7_3_12_0.05,False
263,Benign,blosum45,2681,30727,3200,0.7_3_12_0.1,False
264,Benign,blosum45,3227,30727,6400,0.7_3_12_0.1,False
265,Benign,blosum45,558,30727,800,0.8_3_12_0.1,False
266,Benign,blosum45,3266,30727,6400,0.7_3_12_0.05,False
267,Benign,blosum45,1007,30727,1600,0.8_3_12_0.1,False
268,Benign,blosum45,3776,30727,12800,0.7_3_12_0.1,False
269,Benign,blosum45,2645,30727,25600,0.8_3_12_0.1,False
270,Benign,blosum45,414,30727,12800,0.9_3_12_0.05,False
271,Benign,blosum45,2087,30727,12800,0.8_3_12_0.2,False
272,Benign,blosum45,3792,30727,25600,0.7_3_12_0.2,False
273,Benign,blosum45,27,30727,800,0.9_3_12_0.05,False
274,Benign,blosum45,2704,30727,25600,0.8_3_12_0.005,False
275,Benign,blosum45,419,30727,12800,0.9_3_12_0.1,False
276,Benign,blosum45,970,30727,1600,0.8_3_12_0.2,False
277,Benign,blosum45,793,30727,51200,0.9_3_12_0,False
278,Benign,blosum45,615,30727,25600,0.9_3_12_0.2,False
279,Benign,blosum45,1000,30727,1600,0.8_3_12_0.05,False
280,Benign,pam70,0,30727,800,0.9_3_12_0.05,False
281,Benign,pam70,435,30727,800,0.8_3_12_0.2,False
282,Benign,pam70,745,30727,1600,0.8_3_12_0.1,False
283,Benign,pam70,49,30727,51200,0.9_3_12_0.05,False
284,Benign,pam70,8,30727,12800,0.9_3_12_0,False
285,Benign,pam70,738,30727,1600,0.8_3_12_0.2,False
286,Benign,pam70,8,30727,12800,0.9_3_12_0.005,False
287,Benign,pam70,1052,30727,3200,0.8_3_12_0.05,False
288,Benign,pam70,1428,30727,6400,0.8_3_12_0.05,False
289,Benign,pam70,1553,30727,1600,0.7_3_12_0.005,False
290,Benign,pam70,3445,30727,25600,0.7_3_12_0.1,False
291,Benign,pam70,1050,30727,3200,0.8_3_12_0,False
292,Benign,pam70,1741,30727,12800,0.8_3_12_0.1,False
293,Benign,pam70,1985,30727,3200,0.7_3_12_0.2,False
294,Benign,pam70,3549,30727,25600,0.7_3_12_0.005,False
295,Benign,pam70,0,30727,1600,0.9_3_12_0.05,False
296,Benign,pam70,1972,30727,25600,0.8_3_12_0.2,False
297,Benign,pam70,2837,30727,12800,0.7_3_12_0.2,False
298,Benign,pam70,2393,30727,6400,0.7_3_12_0.2,False
299,Benign,pam70,1433,30727,6400,0.8_3_12_0,False
300,Benign,pam70,7,30727,3200,0.9_3_12_0,False
301,Benign,pam70,16,30727,25600,0.9_3_12_0.1,False
302,Benign,pam70,2551,30727,6400,0.7_3_12_0.1,False
303,Benign,pam70,1050,30727,3200,0.8_3_12_0.005,False
304,Benign,pam70,1430,30727,6400,0.8_3_12_0.005,False
305,Benign,pam70,2106,30727,3200,0.7_3_12_0.1,False
306,Benign,pam70,3947,30727,51200,0.7_3_12_0,False
307,Benign,pam70,2105,30727,25600,0.8_3_12_0.05,False
308,Benign,pam70,6,30727,6400,0.9_3_12_0,False
309,Benign,pam70,1578,30727,1600,0.7_3_12_0.05,False
310,Benign,pam70,3,30727,12800,0.9_3_12_0.2,False
311,Benign,pam70,3028,30727,12800,0.7_3_12_0.05,False
312,Benign,pam70,0,30727,800,0.9_3_12_0.2,False
313,Benign,pam70,3783,30727,51200,0.7_3_12_0.1,False
314,Benign,pam70,3929,30727,51200,0.7_3_12_0.005,False
315,Benign,pam70,0,30727,800,0.9_3_12_0,False
316,Benign,pam70,2235,30727,51200,0.8_3_12_0.2,False
317,Benign,pam70,49,30727,51200,0.9_3_12_0.1,False
318,Benign,pam70,1779,30727,12800,0.8_3_12_0.005,False
319,Benign,pam70,1022,30727,800,0.7_3_12_0.1,False
320,Benign,pam70,422,30727,800,0.8_3_12_0.005,False
321,Benign,pam70,2386,30727,51200,0.8_3_12_0.05,False
322,Benign,pam70,1780,30727,12800,0.8_3_12_0,False
323,Benign,pam70,985,30727,800,0.7_3_12_0,False
324,Benign,pam70,3555,30727,25600,0.7_3_12_0,False
325,Benign,pam70,1006,30727,800,0.7_3_12_0.05,False
326,Benign,pam70,422,30727,800,0.8_3_12_0,False
327,Benign,pam70,5,30727,3200,0.9_3_12_0.1,False
328,Benign,pam70,1553,30727,1600,0.7_3_12_0,False
329,Benign,pam70,5,30727,6400,0.9_3_12_0.1,False
330,Benign,pam70,16,30727,25600,0.9_3_12_0.05,False
331,Benign,pam70,2,30727,6400,0.9_3_12_0.2,False
332,Benign,pam70,6,30727,6400,0.9_3_12_0.005,False
333,Benign,pam70,7,30727,3200,0.9_3_12_0.005,False
334,Benign,pam70,2,30727,3200,0.9_3_12_0.2,False
335,Benign,pam70,3063,30727,12800,0.7_3_12_0.005,False
336,Benign,pam70,3199,30727,25600,0.7_3_12_0.2,False
337,Benign,pam70,1405,30727,6400,0.8_3_12_0.1,False
338,Benign,pam70,1694,30727,12800,0.8_3_12_0.2,False
339,Benign,pam70,1059,30727,3200,0.8_3_12_0.1,False
340,Benign,pam70,2055,30727,25600,0.8_3_12_0.1,False
341,Benign,pam70,3003,30727,12800,0.7_3_12_0.1,False
342,Benign,pam70,736,30727,1600,0.8_3_12_0.05,False
343,Benign,pam70,2597,30727,6400,0.7_3_12_0.005,False
344,Benign,pam70,3516,30727,25600,0.7_3_12_0.05,False
345,Benign,pam70,1042,30727,3200,0.8_3_12_0.2,False
346,Benign,pam70,12,30727,25600,0.9_3_12_0.2,False
347,Benign,pam70,1775,30727,12800,0.8_3_12_0.05,False
348,Benign,pam70,2437,30727,51200,0.8_3_12_0,False
349,Benign,pam70,7,30727,12800,0.9_3_12_0.1,False
350,Benign,pam70,2435,30727,51200,0.8_3_12_0.005,False
351,Benign,pam70,1362,30727,6400,0.8_3_12_0.2,False
352,Benign,pam70,2113,30727,3200,0.7_3_12_0.005,False
353,Benign,pam70,969,30727,800,0.7_3_12_0.2,False
354,Benign,pam70,5,30727,6400,0.9_3_12_0.05,False
355,Benign,pam70,1512,30727,1600,0.7_3_12_0.2,False
356,Benign,pam70,732,30727,1600,0.8_3_12_0,False
357,Benign,pam70,5,30727,3200,0.9_3_12_0.05,False
358,Benign,pam70,732,30727,1600,0.8_3_12_0.005,False
359,Benign,pam70,0,30727,1600,0.9_3_12_0,False
360,Benign,pam70,2571,30727,6400,0.7_3_12_0.05,False
361,Benign,pam70,0,30727,800,0.9_3_12_0.1,False
362,Benign,pam70,20,30727,25600,0.9_3_12_0.005,False
363,Benign,pam70,2111,30727,3200,0.7_3_12_0.05,False
364,Benign,pam70,20,30727,25600,0.9_3_12_0,False
365,Benign,pam70,1584,30727,1600,0.7_3_12_0.1,False
366,Benign,pam70,55,30727,51200,0.9_3_12_0,False
367,Benign,pam70,7,30727,12800,0.9_3_12_0.05,False
368,Benign,pam70,53,30727,51200,0.9_3_12_0.005,False
369,Benign,pam70,3506,30727,51200,0.7_3_12_0.2,False
370,Benign,pam70,2122,30727,3200,0.7_3_12_0,False
371,Benign,pam70,0,30727,1600,0.9_3_12_0.1,False
372,Benign,pam70,2327,30727,51200,0.8_3_12_0.1,False
373,Benign,pam70,2601,30727,6400,0.7_3_12_0,False
374,Benign,pam70,0,30727,800,0.9_3_12_0.005,False
375,Benign,pam70,426,30727,800,0.8_3_12_0.05,False
376,Benign,pam70,3061,30727,12800,0.7_3_12_0,False
377,Benign,pam70,2125,30727,25600,0.8_3_12_0,False
378,Benign,pam70,3859,30727,51200,0.7_3_12_0.05,False
379,Benign,pam70,36,30727,51200,0.9_3_12_0.2,False
380,Benign,pam70,433,30727,800,0.8_3_12_0.1,False
381,Benign,pam70,982,30727,800,0.7_3_12_0.005,False
382,Benign,pam70,2118,30727,25600,0.8_3_12_0.005,False
383,Benign,pam70,0,30727,1600,0.9_3_12_0.2,False
384,Benign,pam70,0,30727,1600,0.9_3_12_0.005,False
385,Pathogenic,blosum62,585,32000,800,0.7_3_12_0,False
386,Pathogenic,blosum62,2327,32000,51200,0.7_3_12_0.1,False
387,Pathogenic,blosum62,149,32000,1600,0.8_3_12_0.2,False
388,Pathogenic,blosum62,888,32000,51200,0.8_3_12_0.2,False
389,Pathogenic,blosum62,109,32000,800,0.8_3_12_0.005,False
390,Pathogenic,blosum62,16,32000,800,0.9_3_12_0,False
391,Pathogenic,blosum62,45,32000,1600,0.9_3_12_0.005,False
392,Pathogenic,blosum62,16,32000,800,0.9_3_12_0.05,False
393,Pathogenic,blosum62,135,32000,51200,0.9_3_12_0.1,False
394,Pathogenic,blosum62,2377,32000,51200,0.7_3_12_0.05,False
395,Pathogenic,blosum62,226,32000,1600,0.8_3_12_0.1,False
396,Pathogenic,blosum62,625,32000,800,0.7_3_12_0.1,False
397,Pathogenic,blosum62,1642,32000,6400,0.7_3_12_0.1,False
398,Pathogenic,blosum62,687,32000,12800,0.8_3_12_0,False
399,Pathogenic,blosum62,2194,32000,25600,0.7_3_12_0,False
400,Pathogenic,blosum62,688,32000,12800,0.8_3_12_0.005,False
401,Pathogenic,blosum62,1394,32000,3200,0.7_3_12_0.1,False
402,Pathogenic,blosum62,1285,32000,3200,0.7_3_12_0.2,False
403,Pathogenic,blosum62,16,32000,800,0.9_3_12_0.2,False
404,Pathogenic,blosum62,108,32000,12800,0.9_3_12_0.05,False
405,Pathogenic,blosum62,2397,32000,51200,0.7_3_12_0.005,False
406,Pathogenic,blosum62,957,32000,1600,0.7_3_12_0,False
407,Pathogenic,blosum62,108,32000,800,0.8_3_12_0,False
408,Pathogenic,blosum62,1529,32000,6400,0.7_3_12_0.2,False
409,Pathogenic,blosum62,2398,32000,51200,0.7_3_12_0,False
410,Pathogenic,blosum62,608,32000,800,0.7_3_12_0.05,False
411,Pathogenic,blosum62,359,32000,3200,0.8_3_12_0.05,False
412,Pathogenic,blosum62,2192,32000,25600,0.7_3_12_0.005,False
413,Pathogenic,blosum62,225,32000,1600,0.8_3_12_0.005,False
414,Pathogenic,blosum62,514,32000,6400,0.8_3_12_0.05,False
415,Pathogenic,blosum62,60,32000,3200,0.9_3_12_0,False
416,Pathogenic,blosum62,111,32000,12800,0.9_3_12_0,False
417,Pathogenic,blosum62,693,32000,12800,0.8_3_12_0.1,False
418,Pathogenic,blosum62,2150,32000,25600,0.7_3_12_0.1,False
419,Pathogenic,blosum62,76,32000,6400,0.9_3_12_0.2,False
